filepath,substrate_cluster,substrate_name
data/raw/Coccidiosis/cocci.0.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.10.jpg,3,Cluster 3 (Mixed straw / pen floor)
data/raw/Coccidiosis/cocci.100.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1000.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1001.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1002.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1003.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1004.jpg,3,Cluster 3 (Mixed straw / pen floor)
data/raw/Coccidiosis/cocci.1005.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1006.jpg,1,Cluster 1 (Light wood shavings)
data/raw/Coccidiosis/cocci.1007.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1008.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1009.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.101.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1010.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1011.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1012.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1013.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1014.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1015.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1016.jpg,3,Cluster 3 (Mixed straw / pen floor)
data/raw/Coccidiosis/cocci.1017.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1018.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1019.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.102.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1020.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1021.jpg,3,Cluster 3 (Mixed straw / pen floor)
data/raw/Coccidiosis/cocci.1022.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1023.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1024.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1025.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1026.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1027.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1028.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1029.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.103.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1030.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1031.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1032.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1033.jpg,1,Cluster 1 (Light wood shavings)
data/raw/Coccidiosis/cocci.1034.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1035.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1036.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1037.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1038.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1039.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.104.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1040.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1041.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1042.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1043.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1044.jpg,3,Cluster 3 (Mixed straw / pen floor)
data/raw/Coccidiosis/cocci.1045.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1046.jpg,0,Cluster 0 (Dark soil / concrete)
data/raw/Coccidiosis/cocci.1047.jpg,2,Cluster 2 (Reddish-brown litter)
data/raw/Coccidiosis/cocci.1048.jpg,0,Cluster 0 (Dark soil / concrete)
